"        עסקה","     ת.אספקה","   מספר חברה","     ת.אספקה","        סכום","     שם לקוח","        הנחה"," סטטוס כספים"," סטטוס שיווק","      מעטפות","     ת.תשלום","     א.תשלום","  אישור כספי","   עסקת סניף","       זיכוי","            ","      סוג תו","        ילקח","   שי ארגוני","        סיבה","       כתובת","        1 שי","        2 שי","        3 שי","  תיאום הפצה","      מתמשכת"
536447   ,20200831  ,924237  ,31082020  ,500000      ,"             הלידרים",.00    ,48  ,24  ,1800   ,0         ,6    ," "," ",0          ,0  ,3  ,"ש","שי",92  ," 19           יית אתא דרך חיפה",25   ,0    ,0    ," "," "
536817   ,20200831  ,918219  ,31082020  ,8600        ,"      כלל פנסיה וגמל",.00    ,48  ,24  ,86     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        אביב - יפו ולנברג ראול",25   ,0    ,0    ," "," "
537024   ,20200831  ,917863  ,31082020  ,111510      ," עיריית יוקנעם - ועד",.00    ,48  ,24  ,413    ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"5              נעם עילית האורן",2    ,0    ,0    ," "," "
537043   ,20200831  ,917863  ,31082020  ,8100        ," עיריית יוקנעם - ועד",.00    ,48  ,24  ,30     ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"5              נעם עילית האורן",25   ,0    ,0    ," "," "
537928   ,20200831  ,900338  ,31082020  ,820000      ,"עיריית פתח תקווה-ועד",.00    ,48  ,24  ,4100   ,0         ,95   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ," 40           ח תקווה בר כוכבא",4    ,0    ,0    ," "," "
537929   ,20200831  ,900338  ,31082020  ,2760000     ,"עיריית פתח תקווה-ועד",.00    ,48  ,24  ,4150   ,0         ,95   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ," 40           ח תקווה בר כוכבא",5    ,0    ,0    ," "," "
538247   ,20200831  ,923930  ,31082020  ,32200       ,"החברה המרכזית לפיתוח",.00    ,48  ,24  ,119    ,30082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1            קן לא ידוע",25   ,0    ,0    ,"2"," "
538248   ,20200831  ,923930  ,31082020  ,67000       ,"החברה המרכזית לפיתוח",.00    ,48  ,24  ,134    ,30082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1            קן לא ידוע",25   ,0    ,0    ,"2"," "
538535   ,20200831  ,924183  ,31082020  ,46400       ,"""טמבורד מוצרי גבס בע",.00    ,48  ,24  ,82     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        2          ו בורנשטיין",25   ,0    ,0    ," "," "
538536   ,20200831  ,2888    ,31082020  ,137900      ,"          טמבור בע""מ",.00    ,48  ,24  ,258    ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        2          ו בורנשטיין",2    ,0    ,0    ," "," "
538538   ,20200831  ,915653  ,31082020  ,73300       ,"    טמבור הפצות בע""מ",.00    ,48  ,24  ,139    ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      6         ניה מאיר אריאל",25   ,0    ,0    ," "," "
538539   ,20200831  ,915798  ,31082020  ,14000       ,"   גבס גשר 2006 בע""מ",.00    ,48  ,24  ,24     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        2          ו בורנשטיין",25   ,0    ,0    ," "," "
538555   ,20200831  ,2888    ,31082020  ,11800       ,"          טמבור בע""מ",.00    ,48  ,24  ,31     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        2          ו בורנשטיין",25   ,0    ,0    ," "," "
538557   ,20200831  ,915655  ,31082020  ,11400       ,"צומת צבעים ועוד בע""מ",.00    ,48  ,24  ,25     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      6         ניה מאיר אריאל",25   ,0    ,0    ," "," "
538565   ,20200831  ,919200  ,31082020  ,1000000     ,"שערי רווחה (אדר ניסן",.00    ,40  ,24  ,1000   ,0         ,6    ," "," ",0          ,0  ,3  ,"י","שי",20  ,"0     שון לציון שמוטקין בנימין",4    ,0    ,0    ," "," "
538581   ,20200831  ,922012  ,31082020  ,1200        ,"שביט בר-און גלאון צי",.00    ,48  ,24  ,2      ,12082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"           אביב - יפו דרך בגין",25   ,0    ,0    ," "," "
538590   ,20200831  ,924328  ,31082020  ,582200      ," עיריית קריית ביאליק",.00    ,48  ,24  ,1060   ,0         ,2    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"         יית ביאליק שד ירושלים",4    ,0    ,0    ," "," "
538596   ,20200831  ,915535  ,31082020  ,55200       ,"""דלתא גליל תעשיות בע",.00    ,48  ,24  ,249    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"    45               סריה האשל",25   ,0    ,0    ," "," "
538740   ,20200831  ,913164  ,31082020  ,39800       ,"התאחדות התעשיינים בי",.00    ,48  ,24  ,84     ,20082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"    11       סריה הרדוף הנחלים",25   ,0    ,0    ,"2"," "
538832   ,20200831  ,922138  ,31082020  ,23000       ,"         סטרוקם בע""מ",.00    ,48  ,24  ,190    ,17082020  ,97   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"      147       ר דרך בר יהודה",25   ,0    ,0    ," "," "
538902   ,20200831  ,11630   ,31082020  ,51479       ,"        מגן דוד אדום",.00    ,48  ,24  ,92     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        1          ו יוסף גדיש",25   ,0    ,0    ," "," "
538903   ,20200831  ,11630   ,31082020  ,65096       ,"        מגן דוד אדום",.00    ,48  ,24  ,118    ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"     11           ולה ההסתדרות",25   ,0    ,0    ," "," "
538904   ,20200831  ,11630   ,31082020  ,75997       ,"        מגן דוד אדום",.00    ,48  ,24  ,132    ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1             ריה הקישון",25   ,0    ,0    ," "," "
538915   ,20200831  ,924968  ,31082020  ,3600        ,"   זום אנליטיקס בע""מ",.00    ,48  ,24  ,10     ,26082020  ,6    ,"כ"," ",0          ,0  ,9  ,"ש","שי",92  ," 17               ח תקווה גונן",25   ,0    ,0    ," "," "
538917   ,20200831  ,11630   ,31082020  ,71917       ,"        מגן דוד אדום",.00    ,48  ,24  ,132    ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      7               ניה מינץ",25   ,0    ,0    ," "," "
539004   ,20200831  ,11630   ,31082020  ,13860       ,"        מגן דוד אדום",.00    ,48  ,24  ,18     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        1          ו יוסף גדיש",25   ,0    ,0    ," "," "
539006   ,20200831  ,918864  ,31082020  ,258300      ,"          מועדון אלה",.00    ,48  ,24  ,1090   ,30082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  8       ת השרון דבורה הנביאה",3    ,0    ,0    ,"1"," "
539010   ,20200831  ,11630   ,31082020  ,11550       ,"        מגן דוד אדום",.00    ,48  ,24  ,15     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"     11           ולה ההסתדרות",25   ,0    ,0    ," "," "
539012   ,20200831  ,11630   ,31082020  ,13860       ,"        מגן דוד אדום",.00    ,48  ,24  ,18     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1             ריה הקישון",25   ,0    ,0    ," "," "
539035   ,20200831  ,11630   ,31082020  ,14630       ,"        מגן דוד אדום",.00    ,48  ,24  ,19     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      7               ניה מינץ",25   ,0    ,0    ," "," "
539290   ,20200831  ,915534  ,31082020  ,36600       ,"    טמפו משקאות בע""מ",.00    ,48  ,24  ,75     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      2        ניה גבורי ישראל",25   ,0    ,0    ," "," "
539307   ,20200831  ,36302   ,31082020  ,63000       ," אליאנס חברה לצמיגים",.00    ,48  ,24  ,420    ,0         ,78   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1           רה פרידלנדר",25   ,0    ,0    ," "," "
