"        עסקה","     ת.אספקה","   מספר חברה","     ת.אספקה","        סכום","     שם לקוח","        הנחה"," סטטוס כספים"," סטטוס שיווק","      מעטפות","     ת.תשלום","     א.תשלום","  אישור כספי","   עסקת סניף","       זיכוי","            ","      סוג תו","        ילקח","   שי ארגוני","        סיבה","       כתובת","        1 שי","        2 שי","        3 שי","  תיאום הפצה","      מתמשכת"
536975   ,20200824  ,925184  ,24082020  ,24800       ,"   ועד תעשיות רדימקס",.00    ,52  ,24  ,62     ,25082020  ,2    ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"4       יית טבעון דרך קרית עמל",25   ,0    ,0    ," "," "
537286   ,20200824  ,924253  ,24082020  ,300000      ,"מילב- מועדוני הגמלאי",.00    ,52  ,24  ,600    ,25082020  ,76   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"      15            פה אחד העם",25   ,0    ,0    ," "," "
537429   ,20200824  ,908774  ,24082020  ,60500       ,"אקווטרון רובוטיק טכנ",.00    ,52  ,24  ,132    ,13082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"      1            ולה לא ידוע",25   ,0    ,0    ," "," "
537639   ,20200824  ,6608    ,24082020  ,80000       ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,160    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
537640   ,20200824  ,6608    ,24082020  ,500         ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,1      ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
537641   ,20200824  ,6608    ,24082020  ,2500        ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,10     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
537642   ,20200824  ,6608    ,24082020  ,7500        ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,15     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
537643   ,20200824  ,6608    ,24082020  ,6250        ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,25     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
537644   ,20200824  ,6608    ,24082020  ,2000        ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,20     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
537645   ,20200824  ,6608    ,24082020  ,18000       ,"  מכבי שירותי בריאות",.00    ,50  ,24  ,150    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",0   ,"       1          פה נתיב האור",25   ,0    ,0    ," "," "
