מספר חברה,שם חברה
916023,א. ברטלר תווי קניה
916140,אקי אוטו קלאב בעמ
909508,                        איסתא ישראל בעמ
838,"$$$ אל על נתיבי אויר לישראל בע""מ"
921539,אלביט יבשה ותקשוב יק
918423,אלביט כרטיס נטען
886, אלביט מערכות לא וסיגינט אלישרא בעמ
2866,אלביט מערכות במד ול
59675,אלביט מערכות בעמ
915921,אלביט מערכות יבשה ות
918289,"אלביט מערכות ראייה בע""מ"
918507,אלביט מערכות - סאיקלון
922445,אלביט מערכות אבטחה ב
926432,                  אלביט מערכות יבשה בעמ
907979,"אלביט תעשיות אלקטרו - אופטיקה אל אופ בי""מ"
926339,אלקטרה השקעות
924058,"אלקטרה אלקו התק""ש"
924766,אלקטרה פז בעמ
924764,אלקטרה אפ אם אחזקת מבנים ומערכות בעמ
912534,אלקטרה אפ.אם החזקת מבנים ומערכות
924729,אלקטרה בנייה בעמ
924047,"אלקטרה בע""מ"
924154,אלקטרה בקרה ותקשורת
924768,אלקטרה דנקו בעמ
926340,"אלקטרה השקעות (1998) בע""מ"
926342,אלקטרה טכנולוגיות
927172,"אלקטרה טכנולוגיות חכמות בע""מ"
924762,אלקטרה יב אחזקת מערכות בעמ
861,"אלקטרה ישראל בע""מ"
862,אלקטרה ישראל - אגף מתכות והנדסה
904847,"אלקטרה ישראל בע""מ"
23206, אלקטרה מוצרי צריכה
911672,אלקטרה מוצרי צריכה - ועד עובדים
914841,"אלקטרה מוצרי צריכה בע""מ"
924722,אלקטרה מוצרי צריכה 1970 בעמ
925045,"אלקטרה מוצרי צריכה (1951) בע""מ"
918488,אלקטרה נדלן בעמ
924872,אלקטרה סולל בונה אגירה שאובה גלבוע
905855,"אלקטרה סחר בע""מ"
924761,אלקטרה סקיוריטי בעמ
904787,אלקטרה - ועד עובדים
926407,אלקטרה פז
924725,אלקטרה פתרונות חניה
924726,אלקטרה תעמל
47621,"אלקטרה תעשיות בע""מ"
916513,אלקטרה תעשיות מיזוג
914825,אלקטרה תקשורת בעמ
921667,אלקטרה תשתיות בעמ
1669,אסם בני ברק
900764,אסם בני ברק
907413,אסם בעמ
5010,אסם הגליל מכון תערובת של מושבי הגליל אגודה חקלאית שיתופית
925313,"אסם הגליל מכון תערובת אגש""ח בע""מ"
7359,                         אסם השקעות בעמ
913384,אסם השקעות
6534,אסם יקנעם
908967,אסם ירושלים
916505,אסם - סניף חבל מודיעין
20954,"אסם תעשיות מזון בע""מ"
910966,"אסם תעשיות מזון בע""מ - ועד עובדים"
918884,אסם - בית השיטה
918886,אסם  גבעול
922918,ONP אסם  וועד
923042,אסם  ועד הנהלת שוהם
923056,אוסם  ועד נהגי יבש צ
923070,אסם  ועד נהגי קפמ צ
918883,אסם  צבר
907441,אסם ועד נהגי יבש מרכ
924320,אסם ועד נהגי קפמ מר
922286,אסם ועד עובדים קרית
924321,אסם ועד רווחה אתר דר
6716,אסם - פתח תקוה
918895,אסם שדרות
64,"אפקון בקרה ואוטומציה בע""מ"
919717,אפקון החזקות בעמ
911704,"אפקון התקנות ושירותים בע""מ - ירושלים"
905486,"אפקון ייצור והתקנות דרום בע""מ"
5682,"אפקון תעשיות ב""מ"
916553,ארגון המנהדסים והאדריכלים העצמאים
7411,ארגון סגל אקדמאי הבכ
913734,ארגון עובדי בנק דיסקונט
914532,ארגון עובדי עיריית תל אביב 
900450,ארגון עובדי קמג ועד
