מספר חברה,שם חברה
916023,#N/A
916140,אקי אוטו קלאב בעמ
909508,                        איסתא ישראל בעמ
838,"$$$ אל על נתיבי אויר לישראל בע""מ"
921539,אלביט יבשה ותקשוב יק
918423,#N/A
886, אלביט מערכות לא וסיגינט אלישרא בעמ
2866,אלביט מערכות במד ול
59675,אלביט מערכות בעמ
915921,אלביט מערכות יבשה ות
918289,"אלביט מערכות ראייה בע""מ"
918507,אלביט מערכות - סאיקלון
922445,אלביט מערכות אבטחה ב
926432,                  אלביט מערכות יבשה בעמ
907979,"אלביט תעשיות אלקטרו - אופטיקה אל אופ בי""מ"
926339,#N/A
924058,"אלקטרה אלקו התק""ש"
924766,אלקטרה פז בעמ
924764,אלקטרה אפ אם אחזקת מבנים ומערכות בעמ
912534,#N/A
924729,אלקטרה בנייה בעמ
924047,#N/A
924154,אלקטרה בקרה ותקשורת
924768,אלקטרה דנקו בעמ
926340,#N/A
926342,#N/A
927172,#N/A
924762,אלקטרה יב אחזקת מערכות בעמ
861,#N/A
862,#N/A
904847,#N/A
23206, אלקטרה מוצרי צריכה
911672,#N/A
914841,#N/A
924722,אלקטרה מוצרי צריכה 1970 בעמ
925045,"אלקטרה מוצרי צריכה (1951) בע""מ"
918488,אלקטרה נדלן בעמ
924872,אלקטרה סולל בונה אגירה שאובה גלבוע
905855,#N/A
924761,אלקטרה סקיוריטי בעמ
904787,#N/A
926407,#N/A
924725,אלקטרה פתרונות חניה
924726,אלקטרה תעמל
47621,#N/A
916513,אלקטרה תעשיות מיזוג
914825,אלקטרה תקשורת בעמ
921667,אלקטרה תשתיות בעמ
1669,#N/A
900764,#N/A
907413,אסם בעמ
5010,#N/A
925313,#N/A
7359,                         אסם השקעות בעמ
913384,#N/A
6534,אסם יקנעם
908967,#N/A
916505,#N/A
20954,#N/A
910966,#N/A
918884,#N/A
918886,אסם  גבעול
922918,ONP אסם  וועד
923042,אסם  ועד הנהלת שוהם
923056,אוסם  ועד נהגי יבש צ
923070,אסם  ועד נהגי קפמ צ
918883,אסם  צבר
907441,אסם ועד נהגי יבש מרכ
924320,אסם ועד נהגי קפמ מר
922286,אסם ועד עובדים קרית
924321,אסם ועד רווחה אתר דר
6716,#N/A
918895,אסם שדרות
64,#N/A
919717,אפקון החזקות בעמ
911704,#N/A
905486,#N/A
5682,#N/A
916553,#N/A
7411,ארגון סגל אקדמאי הבכ
913734,ארגון עובדי בנק דיסקונט
914532,ארגון עובדי עיריית תל אביב 
900450,ארגון עובדי קמג ועד
905886,#N/A
909410,בזק און ליין בעמ
914057,#N/A
900973,#N/A
900471,#N/A
905426,#N/A
438,בזק החברה הישראלית ל
905358,#N/A
10776,#N/A
915269,#N/A
900470,#N/A
810732,#N/A
904800,#N/A
918672,"בזק ישיר הדפסות איכות בע""מ"
909940,#N/A
904246,#N/A
904764,#N/A
905394,#N/A
909044,#N/A
915397,#N/A
904900,#N/A
903685,#N/A
905545,#N/A
903963,#N/A
900289,#N/A
903492,#N/A
903926,#N/A
906578,#N/A
909992,#N/A
917719,#N/A
908030,#N/A
903477,#N/A
900968,#N/A
900974,#N/A
900969,#N/A
900468,#N/A
903110,#N/A
904763,#N/A
442467,#N/A
